ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Family,Source_comment
evenki,Evenki,Eurasia,61.972,94.689,even1259,evn,,"Andrej Malchukov (Tungusic [Manchu-Tungusic, Transeurasian])"
finnish,Finnish,Eurasia,64.7628,25.5577,finn1318,fin,,Juha Janhunen (Uralic)
french,French,Eurasia,48.0,2.0,stan1290,fra,,Michela Cennamo (Romance [Indo-European])
garhwali,Garhwali,Eurasia,30.5061,78.7201,garh1243,gbm,,Annie Montaut (Indo-Aryan [Indo-European))
german,German,Eurasia,48.649,12.4676,stan1295,deu,,Luise Kempf & Damaris Nübling (German [Indo-European])
guadelopeancreole,Guadelopean Creole,North America,16.304875,-61.405914,guad1242,gcf,,Susanne Michaelis & Martin Haspelmath (Creoles and Pidgins)
guineabissaukriyol,Guinea-Bissau Kriyol,Africa,13.2335066667,-15.33254,uppe1455,pov,,Susanne Michaelis & Martin Haspelmath (Creoles and Pidgins)
guyanais,Guyanais,South America,4.94804,-52.7336,guia1246,gcr,,Susanne Michaelis & Martin Haspelmath (Creoles and Pidgins)
haitiancreole,Haitian Creole,North America,18.795135,-72.136115,hait1244,hat,,Susanne Michaelis & Martin Haspelmath (Creoles and Pidgins)
hindi,Hindi,Eurasia,25.0,77.0,hind1269,hin,,Annie Montaut (Indo-Aryan [Indo-European))
hoocak,Hoocak,North America,43.5,-88.5,hoch1243,win,,Johannes Helmbrecht (Hoocąk [Core Siouan])
huanca,Huanca,South America,-11.6747,-75.2786,jauj1238,qxw,,Willem F. H. Adelaar (Quechua and Aymara)
hungarian,Hungarian,Eurasia,46.9068585714,19.6555271429,hung1274,hun,,Juha Janhunen (Uralic)
