ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source
khmer-tense,khmer,tense,TEMPORAL adverbial / PAST,,dɔl / ba:n,
khmer-verbal-deixis,khmer,verbal-deixis,VENITIVE (DIRECTIONAL verb) / ANDATIVE (DIRECTIONAL verb),,mɔ̀:k / tɤ̀u,
kitamaninka-aspect,kitamaninka,aspect,PERFECT suffix (for inTRANSITIVE) / PERFECT predicative marker (for TRANSITIVE),,-nín / nànín,
kitamaninka-tense,kitamaninka,tense,PAST,,tèré,
korean-information-structure-devices,korean,information-structure-devices,TOPIC PRESENTATION,,-ketun,
korean-aspect,korean,aspect,PROGRESSIVE / RESULTATIVE (+HON) / INCHOATIVE / HABITUAL / COMPLETIVE Aspect / CONTINUATIVE aux / Change-of-State / COMPLETIVE (aux) / HABITUAL aux,,-ko.iss- / -ko.iss- / -e.ci- / -kon.ha- / -e.mek- / -e.o- / -e.ka- / e.noh- / -ko.ancass,
korean-pronoun-proverb,korean,pronoun-proverb,subject honorification / Pers PRON 2SG HON / Pers PRON 1SG HUM / Pers PRON 2SG HON / addressee honorification / Pro-Verb / Pers Pro 3SG,,"-si- / kutuy / sosin / imca / -sAp-, -zAp-, -cAp, -Ap- / ha- / i.salam",
korean-tense,korean,tense,PAST / FUTURE,,-eys- / -l.kesi-,
korean-conjunction,korean,conjunction,after (TEMPORAL Conjunction) / COMPLEMENTIZER (Declarative) / COMPLEMENTIZER / Cause/Reason Subordinator / Cause/Reason subordinator,,-n.twiey / -tako / -l kes / -ntey / -e.kacko,
korean-case-adposition,korean,case-adposition,"DATIVE/LOCATIVE / NOMINATIVE (Honorific) / INSTRUMENTAL / BENEFACTIVE / along, according to' / BENEFACTIVE / COMPARATIVE marker ('than') / Similative connective ('as') / Similative / ABLATIVE (postposition) / Behind (Spatial postposition) / ALLATIVE postposition / LOCATIVE postposition (near, next to, at)",,-ey / -kkeyse / -(ul)kac(i)ko / -(ul)wihay / -(ul/ey) ttala / -e.cwu- / -pota / -tasiphi / -chelem / -pwuthe / -(uy).twiey / -poko / (-uy) yephey,
korean-evaluative,korean,evaluative,DIMINUTIVE SUFFIX / PEJORATIVE (Derivational Suffix),,"-aci,-akwi / -meli",
korean-evidential,korean,evidential,Inferential EVIDENTIALITY / Inferential EVIDENTIALITY,,-l.tus.ha- / -na/kka.siph-,
korean-identity,korean,identity,identicality ('same'),,han,
